filename	sha256	bytes	real_type	source_url
local-council-elections-2023-result-sheet-ballymoney.pdf	7fc3d0d2d26c96c4bb267b48ae09fe8d08dc3562bd2d61e209897c1e9b80c917	43029	PDF document	https://www.eoni.org.uk/media/u3ieop4a/local-council-elections-2023-result-sheet-ballymoney.pdf
local-council-elections-2023-result-sheet-the-mournes.pdf	3f6164e868968282813ea3614859bcb33fd20482b1f5e0491362ac1fdbc2510f	50609	PDF document	https://www.eoni.org.uk/media/ulgfjds3/local-council-elections-2023-result-sheet-the-mournes.pdf
local-council-elections-2023-result-sheets-antrim-and-newtownabbey.xlsx	7dc9179052bb2f38744a16acfb97e0d7d0ee0ee5a357e28d725a6735e0e48048	50937	Microsoft Excel 2007+	https://www.eoni.org.uk/media/vdve4cov/local-council-elections-2023-result-sheets-antrim-and-newtownabbey.xlsx
local-council-elections-2023-result-sheet-braid.pdf	5ffb50733793ce7b7b5ff2fe8f4bd8f576f62e060d61745dff5855a50bcb4b10	202977	PDF document	https://www.eoni.org.uk/media/vypbzkca/local-council-elections-2023-result-sheet-braid.pdf
local-council-elections-2023-result-sheet-erne-north.pdf	e6b5ce49b444466743498f1adb91b2882372752a55ca3f3319df570c1650127f	66171	PDF document	https://www.eoni.org.uk/media/wuxdzql2/local-council-elections-2023-result-sheet-erne-north.pdf
local-council-elections-2023-result-sheet-foyleside.xlsx	9b8548cd1a0c42880145cc1f63f8adacc482354307225794c5b35fc05ce059b3	45680	Microsoft Excel 2007+	https://www.eoni.org.uk/media/xgvlwjt4/local-council-elections-2023-result-sheet-foyleside.xlsx
local-council-elections-2023-result-sheets-belfast.xlsx	d5a58d0f8854f4962ffe18e6e368a126c874e68220ad562c94324b139bcaa8ac	49149	Microsoft Excel 2007+	https://www.eoni.org.uk/media/yd0d3yo1/local-council-elections-2023-result-sheets-belfast.xlsx
local-council-elections-2023-result-sheet-larne-lough.pdf	72a9376fa7826a15d0f156161358f7cb8fc9f25323204c1ea9426ba73362d557	200433	PDF document	https://www.eoni.org.uk/media/yqykbzbf/local-council-elections-2023-result-sheet-larne-lough.pdf
local-council-elections-2023-result-sheet-the-moor.xlsx	b1606c03fae8914c50f44ccbf8b84650d30f146db91a806728f18f5beb6a7ce4	45992	Microsoft Excel 2007+	https://www.eoni.org.uk/media/yy3bcs0k/local-council-elections-2023-result-sheet-the-moor.xlsx
local-council-elections-2023-result-sheet-slieve-croob.pdf	fcbd5ac27e7b07e1432aa9bafa2b133466a7deb813d052dd64d63a58914182c7	47111	PDF document	https://www.eoni.org.uk/media/zeshyigx/local-council-elections-2023-result-sheet-slieve-croob.pdf
