code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20001295,0.940653,0.023739,0.035608,0.049476,0.003151,0.002941,0.002941,0.000000,0.011029,0.003676,0.000000,0.000000,0.044280,0.239852,0.199262,0.516605,0.070588,0.747059,0.141176,0.000000,0.002941,0.017647,0.000000,0.020588
N20001296,0.306733,0.538653,0.154613,0.042394,0.099751,0.137157,0.102244,0.032419,0.139371,0.015486,0.008150,0.004075,0.282609,0.438406,0.123188,0.155797,0.360902,0.185464,0.185464,0.017544,0.067669,0.020050,0.020050,0.142857
N20001297,0.925000,0.043750,0.031250,0.054167,0.016667,0.006250,0.002083,0.000000,0.014063,0.004687,0.000000,0.000000,0.058824,0.282353,0.176471,0.482353,0.066946,0.694561,0.163180,0.012552,0.010460,0.031381,0.000000,0.020921
N20001298,0.949153,0.021572,0.029276,0.023112,0.012327,0.000000,0.003082,0.000000,0.004622,0.001541,0.000000,0.000000,0.034549,0.220729,0.142035,0.602687,0.085008,0.763524,0.115920,0.000000,0.000000,0.017002,0.009274,0.009274
N20001299,0.971717,0.010101,0.018182,0.036494,0.002004,0.006073,0.002024,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.180556,0.141204,0.650463,0.044444,0.753535,0.151515,0.012121,0.008081,0.012121,0.000000,0.018182
N20001300,0.899213,0.055118,0.045669,0.022047,0.007874,0.009449,0.018898,0.011024,0.005148,0.002726,0.000000,0.000000,0.024518,0.197898,0.077058,0.700525,0.053628,0.758675,0.126183,0.003155,0.007886,0.020505,0.000000,0.029968
N20001301,0.945430,0.025921,0.028649,0.044615,-0.002612,0.009511,0.009511,0.000000,0.007133,0.002378,0.000000,0.000000,0.031301,0.166392,0.163097,0.639209,0.042120,0.805707,0.101902,0.013587,0.009511,0.019022,0.000000,0.008152
N20001302,0.967807,0.014085,0.018109,0.018210,0.001988,0.010081,0.002016,0.000000,0.000000,0.000000,0.000000,0.000000,0.023018,0.225064,0.161125,0.590793,0.060729,0.801619,0.111336,0.002024,0.000000,0.024291,0.000000,0.000000
N20001303,0.831622,0.071869,0.096509,0.056571,0.016654,0.024540,0.006135,0.000000,0.016045,0.008495,0.000000,0.000000,0.061381,0.296675,0.225064,0.416880,0.081466,0.680244,0.114053,0.012220,0.016293,0.014257,0.008147,0.073320
N20001304,0.879121,0.054945,0.065934,0.032257,-0.000405,0.027675,0.014760,0.003690,0.006032,0.003193,0.000000,0.000000,0.049080,0.184049,0.079755,0.687117,0.068266,0.717712,0.136531,0.005535,0.011070,0.016605,0.000000,0.044280
N20001305,0.953875,0.023985,0.022140,0.031365,0.005535,0.005535,0.005535,0.000000,0.004825,0.002555,0.000000,0.000000,0.033784,0.182432,0.081081,0.702703,0.066543,0.715342,0.157116,0.018484,0.000000,0.007394,0.007394,0.027726
N20001306,0.930796,0.027682,0.041522,0.027016,0.017372,0.010309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021186,0.266949,0.105932,0.605932,0.048276,0.689655,0.206897,0.034483,0.000000,0.013793,0.000000,0.006897
N20001307,0.709898,0.069966,0.220137,0.080205,0.018771,0.010239,0.015358,0.000000,0.019598,0.000400,0.005599,0.000000,0.084270,0.265918,0.149813,0.500000,0.044293,0.557070,0.109029,0.005111,0.018739,0.023850,0.006814,0.235094
N20001308,0.928066,0.025943,0.045991,0.043632,0.003538,0.005896,0.003538,0.004717,0.005445,0.001581,0.000703,0.000527,0.139881,0.315476,0.224702,0.319940,0.030624,0.803298,0.124853,0.001178,0.005889,0.014134,0.008245,0.011779
N20001309,0.928571,0.042411,0.029018,0.043527,0.007812,0.007812,0.010045,0.000000,0.011042,0.003206,0.001425,0.001069,0.219008,0.326446,0.236915,0.217631,0.041295,0.813616,0.095982,0.008929,0.004464,0.014509,0.007812,0.013393
N20001310,0.921824,0.032573,0.045603,0.045401,0.013061,0.000000,0.008130,0.000000,0.006361,0.002343,0.002009,0.000670,0.029762,0.192460,0.148810,0.628968,0.058537,0.746341,0.131707,0.004878,0.001626,0.021138,0.006504,0.029268
N20001311,0.830808,0.055556,0.113636,0.069502,0.005304,0.015075,0.005025,0.000000,0.023084,0.000471,0.006595,0.000000,0.074405,0.244048,0.154762,0.526786,0.083544,0.681013,0.108861,0.007595,0.007595,0.010127,0.002532,0.098734
N20001312,0.773494,0.086747,0.139759,0.063349,0.016699,0.009662,0.021739,0.000000,0.029589,0.000604,0.008454,0.000000,0.050445,0.302671,0.154303,0.492582,0.089372,0.579710,0.173913,0.000000,0.014493,0.021739,0.002415,0.118357
N20001313,0.945693,0.033708,0.020599,0.027477,0.002109,0.011152,0.000000,0.000000,0.011426,0.004209,0.003608,0.001203,0.044743,0.230425,0.109620,0.615213,0.031776,0.783178,0.125234,0.007477,0.016822,0.014953,0.005607,0.014953
