code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20003408,0.457767,0.056734,0.164909,0.019794,0.233724,0.010878,0.020808,0.010692,0.024694
N20003409,0.516063,0.010115,0.045157,0.006312,0.367019,0.002737,0.005287,0.013643,0.033668
N20003410,0.481766,0.019859,0.110390,0.009638,0.317977,0.004498,0.013034,0.012675,0.030162
N20003411,0.494478,0.026760,0.076451,0.016887,0.325362,0.007548,0.008827,0.012376,0.031311
N20003412,0.550981,0.018740,0.049295,0.012287,0.313134,0.005679,0.005399,0.012659,0.031826
N20003413,0.571762,0.020597,0.067802,0.012374,0.273315,0.005368,0.006929,0.011981,0.029871
N20003414,0.534938,0.025520,0.064590,0.020181,0.294878,0.007926,0.006317,0.011658,0.033992
N20003415,0.538080,0.015903,0.051117,0.009437,0.329178,0.004341,0.005544,0.013612,0.032788
N20003416,0.611581,0.018263,0.037104,0.008395,0.270929,0.004452,0.004649,0.013963,0.030663
N20003417,0.638375,0.024022,0.048546,0.013284,0.224834,0.006664,0.004526,0.011517,0.028231
N20003418,0.611780,0.012489,0.030434,0.008350,0.285676,0.003874,0.003210,0.012666,0.031522
N20003419,0.588255,0.013367,0.056011,0.007159,0.281850,0.003268,0.005752,0.013287,0.031052
N20003420,0.511996,0.027524,0.133162,0.018601,0.247613,0.007672,0.012947,0.010456,0.030028
N20003421,0.574199,0.013668,0.044492,0.010268,0.303814,0.004161,0.004580,0.012722,0.032096
N20003422,0.470846,0.045530,0.159343,0.032837,0.230050,0.013569,0.013624,0.008994,0.025208
N20003423,0.588461,0.024054,0.061877,0.019423,0.250793,0.007923,0.005612,0.010372,0.031486
N20003424,0.404862,0.047420,0.154202,0.028808,0.296579,0.013040,0.017522,0.010345,0.027223
N20003425,0.614241,0.021288,0.068812,0.013010,0.231571,0.005679,0.006317,0.011094,0.027988
N20003426,0.642567,0.014979,0.014874,0.007488,0.268927,0.004195,0.001725,0.013891,0.031354
N20003427,0.521452,0.017334,0.054057,0.009351,0.340145,0.004239,0.006997,0.013698,0.032726
N20003428,0.606753,0.024801,0.066853,0.015433,0.233870,0.007070,0.006280,0.010909,0.028031
N20003429,0.507811,0.057247,0.121660,0.040225,0.211567,0.017952,0.010002,0.008822,0.024715
N20003430,0.595858,0.016351,0.034477,0.009431,0.290436,0.004557,0.003982,0.013131,0.031778
N20003431,0.625517,0.015527,0.020266,0.008417,0.277754,0.004277,0.002494,0.013977,0.031771
N20003432,0.016673,0.426487,0.211912,0.196702,0.019278,0.109911,0.013689,0.002965,0.002383
N20003433,0.011012,0.449017,0.232358,0.166731,0.009884,0.113833,0.014269,0.001560,0.001337
N20003434,0.023855,0.446251,0.153702,0.214731,0.014439,0.133970,0.008112,0.002636,0.002305
N20003435,0.020462,0.457184,0.160206,0.224491,0.014622,0.108040,0.010279,0.002546,0.002170
N20003436,0.028844,0.509514,0.089860,0.208665,0.013646,0.138826,0.005301,0.002936,0.002409
N20003437,0.014578,0.457334,0.172715,0.228329,0.011479,0.100926,0.011110,0.001899,0.001631
N20003438,0.017060,0.530675,0.056221,0.239321,0.008952,0.140975,0.003352,0.001907,0.001537
N20003439,0.016761,0.486838,0.089993,0.250252,0.010764,0.136682,0.004923,0.002073,0.001715
N20003440,0.030965,0.558796,0.127537,0.157114,0.017819,0.091301,0.009674,0.003908,0.002887
N20003441,0.016793,0.569913,0.117928,0.173306,0.008522,0.102692,0.007499,0.001883,0.001464
N20003442,0.016724,0.411338,0.246770,0.185724,0.018593,0.098802,0.016969,0.002773,0.002306
N20003443,0.023261,0.368334,0.365753,0.126894,0.021030,0.059557,0.028958,0.003444,0.002769
N20003444,0.042665,0.531495,0.150154,0.145236,0.026302,0.082328,0.011832,0.005809,0.004178
N20003445,0.031531,0.531679,0.138932,0.167303,0.018721,0.095854,0.009113,0.003854,0.003013
N20003446,0.025650,0.471127,0.201547,0.184976,0.014588,0.082918,0.013953,0.002897,0.002345
