code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20001116,0.024705,0.571374,0.078999,0.200661,0.009010,0.095102,0.014832,0.003262,0.002054
N20001117,0.038565,0.563514,0.083085,0.185262,0.013138,0.092356,0.016199,0.004834,0.003048
N20001118,0.511798,0.043855,0.052953,0.019555,0.230114,0.009426,0.014538,0.073087,0.044675
N20001119,0.391047,0.067086,0.094478,0.029721,0.267645,0.012869,0.025652,0.068739,0.042764
N20001120,0.458739,0.057906,0.056397,0.027614,0.255299,0.010887,0.015148,0.072930,0.045080
N20001121,0.213508,0.024414,0.392830,0.012882,0.179420,0.004633,0.105626,0.040511,0.026174
N20001122,0.211178,0.070853,0.330357,0.025975,0.183705,0.010147,0.101066,0.040970,0.025749
N20001123,0.180082,0.189623,0.282222,0.071439,0.120174,0.030668,0.075383,0.030988,0.019421
N20001124,0.249767,0.087250,0.266143,0.035011,0.197895,0.014584,0.073441,0.046467,0.029442
N20001125,0.147404,0.107584,0.421058,0.037132,0.108979,0.016308,0.118527,0.026326,0.016681
N20001126,0.160878,0.115109,0.412192,0.042175,0.102290,0.017636,0.106011,0.026716,0.016992
N20001127,0.508530,0.050157,0.047193,0.023939,0.229396,0.010732,0.012317,0.072901,0.044837
N20001128,0.164101,0.319071,0.187463,0.105949,0.084008,0.053808,0.045481,0.024624,0.015495
N20001129,0.111014,0.310197,0.278105,0.105151,0.055083,0.049754,0.063808,0.016471,0.010416
N20001130,0.544612,0.054073,0.024052,0.028099,0.212717,0.011939,0.005939,0.073655,0.044913
N20001131,0.443679,0.084758,0.080989,0.039072,0.207355,0.019808,0.019406,0.064914,0.040018
N20001132,0.276747,0.100901,0.233897,0.039511,0.189767,0.015886,0.065215,0.047941,0.030136
N20001133,0.142308,0.105413,0.427384,0.041493,0.113045,0.017394,0.109574,0.026448,0.016941
N20001134,0.368018,0.081825,0.143949,0.037862,0.216928,0.016566,0.037459,0.059943,0.037451
N20001135,0.230759,0.084035,0.296120,0.032553,0.186138,0.013467,0.086047,0.043588,0.027294
N20001136,0.262181,0.099615,0.222094,0.043836,0.215820,0.017284,0.057273,0.050121,0.031775
N20001137,0.237487,0.064179,0.278049,0.026085,0.221915,0.010194,0.084237,0.047712,0.030143
N20001138,0.301320,0.047539,0.250575,0.019290,0.215410,0.007499,0.071964,0.053019,0.033384
N20001139,0.225069,0.104805,0.292141,0.040209,0.171311,0.016863,0.082655,0.041051,0.025895
N20001140,0.119127,0.089734,0.488806,0.038478,0.092898,0.016119,0.118569,0.022122,0.014148
N20001141,0.353850,0.075190,0.188150,0.031917,0.195272,0.013032,0.052838,0.055238,0.034513
N20001142,0.241841,0.073190,0.275688,0.033333,0.213834,0.012379,0.072033,0.047352,0.030351
N20001143,0.271181,0.118163,0.234302,0.047166,0.172262,0.019912,0.062901,0.045531,0.028583
N20001144,0.240990,0.051227,0.289249,0.020712,0.222290,0.008527,0.089002,0.047728,0.030276
N20001145,0.134237,0.019837,0.500548,0.009409,0.143730,0.003350,0.141675,0.028670,0.018544
N20001146,0.194317,0.048467,0.395170,0.021805,0.162616,0.008240,0.109086,0.036651,0.023648
