code,index
N20000725,0.87243
N20000726,1.01654
N20000727,0.86935
N20000728,0.83525
N20000729,0.77556
N20000730,0.83720
N20000731,1.13891
N20000732,1.16353
N20000733,1.04456
N20000734,1.16718
N20000735,1.06979
N20000736,0.77489
N20000737,0.82800
N20000738,1.02795
N20000739,0.77009
N20000740,1.09113
N20000741,1.02449
N20000742,0.85911
N20000743,0.91104
N20000744,0.77009
N20000745,0.86812
N20000746,0.92457
N20000747,1.01503
N20000748,0.81936
N20000749,0.85753
N20000750,1.03043
N20000751,0.88460
N20000752,0.91168
N20000753,0.90455
N20000754,0.84069
N20000755,0.91635
N20000756,0.87451
N20000757,0.93607
N20000758,0.90327
N20000759,0.84323
N20000760,0.98495
N20000761,0.84555
N20000762,0.93507
N20000763,0.80177
N20000764,0.82606
N20000765,0.86976
N20000766,0.83418
N20000767,0.82458
N20000768,0.87905
N20000769,0.84790
N20000770,0.82207
N20000771,0.91533
N20000772,0.88304
N20000773,0.88493
N20000774,0.78307
N20000775,0.81117
N20000776,0.77009
N20000777,0.94188
N20000778,0.79731
N20000779,0.86263
N20000780,0.79304
N20000781,0.90480
N20000782,0.91376
N20000783,0.87094
N20000784,0.84420
N20000785,0.85379
N20000786,0.91179
N20000787,1.13396
N20000788,1.03365
N20000789,1.02123
N20000790,0.77009
N20000791,1.05035
N20000792,0.93946
N20000793,1.06892
N20000794,0.94458
N20000795,0.84637
N20000796,1.15964
N20000797,1.05531
N20000798,0.81256
N20000799,1.16452
N20000800,0.85049
N20000801,0.80889
N20000802,1.19908
N20000803,1.14948
N20000804,1.02845
N20000805,0.96111
N20000806,0.97422
N20000807,1.12109
N20000808,1.12201
N20000809,1.02999
N20000810,1.19409
N20000811,0.82933
N20000812,1.16040
N20000813,0.77009
N20000814,0.98302
N20000815,1.19766
N20000816,1.13343
N20000817,1.05326
N20000818,1.06101
N20000819,1.09095
N20000820,0.80136
N20000821,0.84999
N20000822,1.17071
N20000823,1.01596
N20000824,0.93942
N20000825,0.93431
N20000826,0.98329
N20000827,1.13355
N20000828,0.88285
N20000829,0.80467
N20000830,0.95803
N20000831,1.07208
N20000832,0.87911
N20000833,1.05511
N20000834,0.77014
N20000835,0.80463
N20000836,0.85838
N20000837,0.88506
N20000838,1.01300
N20000839,1.05116
N20000840,0.93369
N20000841,0.93567
N20000842,0.87424
N20000843,0.95121
N20000844,0.77009
N20000845,0.84448
N20000846,0.96447
N20000847,0.77009
N20000848,0.80323
N20000849,0.94161
N20000850,0.77009
N20000851,0.77009
N20000852,0.77009
N20000853,0.77009
N20000854,1.00857
N20000855,1.00325
N20000856,0.77009
N20000857,1.01688
N20000858,0.84488
N20000859,0.92742
N20000860,0.92427
N20000861,1.00091
N20000862,0.88502
N20000863,0.93317
N20000864,0.79080
N20000865,0.89089
N20000866,0.90358
N20000867,0.85846
N20000868,0.92647
N20000869,0.98618
N20000870,0.77009
N20000871,0.87677
N20000872,0.94326
N20000873,0.77009
N20000874,0.77009
N20000875,0.83755
N20000876,0.96854
N20000877,0.77009
N20000878,0.99029
N20000879,0.96424
N20000880,0.77009
N20000881,0.86449
N20000882,0.95186
N20000883,0.87289
N20000884,0.77009
N20000885,0.81022
N20000886,0.83567
N20000887,0.95375
N20000888,0.92951
N20000889,1.02994
N20000890,0.96979
N20000891,0.89417
N20000892,0.77009
N20000893,0.77009
N20000894,0.87386
N20000895,0.85898
N20000896,0.90897
N20000897,0.98462
N20000898,0.93584
N20000899,0.84507
N20000900,0.81370
N20000901,0.93508
N20000902,0.99776
N20000903,0.77009
N20000904,0.88557
N20000905,0.87192
N20000906,0.90906
N20000907,0.88049
N20000908,0.80678
N20000909,0.96916
N20000910,0.77009
N20000911,0.77009
N20000912,0.83707
N20000913,0.83003
N20000914,0.79446
N20000915,0.82989
N20000916,0.92279
N20000917,0.85372
N20000918,0.77009
N20000919,0.77009
N20000920,0.81601
N20000921,0.77009
N20000922,0.77009
N20000923,0.89442
N20000924,0.77009
N20000925,0.94657
N20000926,0.88751
N20000927,0.77009
N20000928,0.90003
N20000929,0.90207
N20000930,0.87978
N20000931,0.81305
N20000932,0.83148
N20000933,0.79428
N20000934,0.90843
N20000935,0.93152
N20000936,0.77009
N20000937,0.87699
N20000938,0.89320
N20000939,0.87319
N20000940,0.84083
N20000941,0.86570
N20000942,0.84335
N20000943,0.91306
N20000944,0.95738
N20000945,0.96138
N20000946,0.99040
N20000947,0.84161
N20000948,0.77905
N20000949,0.80094
N20000950,1.01043
N20000951,0.82686
N20000952,0.97697
N20000953,0.94084
N20000954,0.95863
N20000955,0.98750
